,train.batch_size,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize_args.weighted,job_type_dummy:1vsAll,job_type_dummy:KvsAll,job_type_dummy:negative_sampling,train.optimizer_dummy:Adagrad,train.optimizer_dummy:Adam,lookup_embedder.initialize_dummy:normal_,lookup_embedder.initialize_dummy:uniform_,lookup_embedder.initialize_dummy:xavier_normal_,lookup_embedder.initialize_dummy:xavier_uniform_,loss_func_dummy:bce,loss_func_dummy:kl,loss_func_dummy:margin_ranking
train.batch_size,,0.015408691799135997,0.018561819870097383,0.0165617715171476,0.015723887798466136,0.01557062280907206,0.015374348282251508,0.016592553425138833,0.01657035699143329,0.01631278172291594,0.01584882531375922,0.015775885668498215,0.014507749498139544,0.015533685219866996,0.015079688941597084,0.015053786256195512,0.015351071762319726,0.01541416663982515,0.015391693783826146
train.optimizer_args.lr,,,0.0004135700805617524,0.0003662431854107366,0.0003408328928629055,0.0003434052307634568,0.0003473669021773052,0.00036373436843240296,0.0003490243649716113,0.0003410357457991552,0.00034199599854660434,0.00033672678750665134,0.0003630291996574474,0.0003547871474957054,0.00035514912245676513,0.0003481946210849127,0.0003445813662941785,0.0003453673205790556,0.0003464364276353922
train.lr_scheduler_args.patience,,,,0.04929489198944596,0.048619204618126084,0.04616498856040255,0.045168243137325745,0.051362069809015254,0.04539822558830499,0.044439244498919506,0.04537209094161315,0.04471788377901882,0.044794593848532974,0.044279470635178356,0.04660511990189366,0.04476230736312838,0.045117827368780325,0.045133556994516946,0.04514717956506007
lookup_embedder.dim,,,,,0.03216026224708628,0.03237135591412612,0.03181590381322254,0.032892477590851725,0.031599276469800326,0.030996000071033057,0.03254737265938226,0.0323386881905728,0.031634120829429804,0.031082755698558936,0.031626461183005876,0.031744746453639616,0.032013275737573656,0.03213437281995248,0.032070186234315436
lookup_embedder.initialize_args.normal_.std,,,,,,0.023611838277993503,0.023226823271631655,0.02288995201995894,0.02323653463400434,0.02307122068151758,0.023399693993204677,0.023406908345317994,0.024405286176922204,0.02376140919395654,0.023470650565338116,0.023524337591421186,0.023185676023427578,0.02315424361124893,0.023270347231981507
lookup_embedder.initialize_args.uniform_.a,,,,,,,0.01246549569671741,0.01304625662257824,0.012683698435229577,0.012175219162763743,0.01258929748674411,0.012826345626494404,0.013571182457531033,0.01266579962874944,0.012553544633560539,0.012775559063874937,0.01240408918421109,0.01244045838453756,0.012476090394325956
lookup_embedder.regularize_args.weighted,,,,,,,,0.0020428344615089425,0.0019828367570867704,0.001912453320954202,0.001993871571205719,0.0019720517562192104,0.0020368600171815263,0.0019907633788399616,0.0019827154506561855,0.002013250146329671,0.0019721785039891475,0.0019709811617262727,0.0019656676025084563
job_type_dummy:1vsAll,,,,,,,,,0.025554251970878215,0.023878565157231343,0.024490615933353915,0.024240640176470575,0.02548835002872575,0.023963841757891284,0.02456916630807777,0.023986064881544544,0.024506538000632145,0.024081441399582435,0.024347312487086697
job_type_dummy:KvsAll,,,,,,,,,,0.020939874353224877,0.02106989296633178,0.01987714695269703,0.019457186917238755,0.020131686755791862,0.019883165565649053,0.019485257318763157,0.020322984654979007,0.020276775858800992,0.02024726299497433
job_type_dummy:negative_sampling,,,,,,,,,,,0.02139654439608311,0.022320745783125998,0.022490750886319518,0.02162903911217484,0.021652651066121006,0.021392252944541907,0.021136732196596415,0.021144166582947176,0.021117247742675607
train.optimizer_dummy:Adagrad,,,,,,,,,,,,0.012688258306284735,0.012372873146293472,0.012673666918672498,0.012293647359960507,0.012408598646748316,0.012652656949581925,0.012645573673887692,0.012616467481337506
train.optimizer_dummy:Adam,,,,,,,,,,,,,0.012921045730602723,0.012885229339249937,0.012363993364446305,0.012157449495317597,0.012167574305162087,0.012082114281796372,0.012081118515928024
lookup_embedder.initialize_dummy:normal_,,,,,,,,,,,,,,0.026260816957581694,0.027011541260068692,0.026353412249499022,0.026006226866918634,0.02612422414211673,0.026234684322509534
lookup_embedder.initialize_dummy:uniform_,,,,,,,,,,,,,,,0.01919242823666602,0.01930767068069789,0.01882853468722124,0.018757875349661002,0.018783852110770483
lookup_embedder.initialize_dummy:xavier_normal_,,,,,,,,,,,,,,,,0.012840800465203287,0.013043358370725499,0.013026130577555365,0.0131415218056459
lookup_embedder.initialize_dummy:xavier_uniform_,,,,,,,,,,,,,,,,,0.015870735518129304,0.01571640318842439,0.01571568456592498
loss_func_dummy:bce,,,,,,,,,,,,,,,,,,0.004281560614163569,0.004332074609824284
loss_func_dummy:kl,,,,,,,,,,,,,,,,,,,0.004469533661414937
loss_func_dummy:margin_ranking,,,,,,,,,,,,,,,,,,,
