,train.batch_size,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize_args.weighted,job_type_dummy:1vsAll,job_type_dummy:KvsAll,job_type_dummy:negative_sampling,train.optimizer_dummy:Adagrad,train.optimizer_dummy:Adam,lookup_embedder.initialize_dummy:normal_,lookup_embedder.initialize_dummy:uniform_,lookup_embedder.initialize_dummy:xavier_normal_,lookup_embedder.initialize_dummy:xavier_uniform_,loss_func_dummy:bce,loss_func_dummy:kl,loss_func_dummy:margin_ranking
train.batch_size,,0.001494023885983621,0.0014971152118672393,0.001494358672816637,0.001493558194638929,0.0015146908658535407,0.0014939561272963233,-0.0005127994308417455,0.00036389053193831757,-0.0007752396163416102,0.0017707403386634513,0.0013201337402608034,0.002544423194545453,0.0009916759786359267,0.002292077232880426,0.002189771253626259,0.0016617217861155775,0.001424805911216177,0.0014231670030984838
train.optimizer_args.lr,,,-1.891228931971689e-05,-2.6311649188648367e-05,-2.548520833482032e-05,-2.5373066310785397e-05,-2.5488035334363498e-05,-3.39737058534656e-05,-7.322812846097954e-05,-2.3295118298502504e-05,-1.782541096985446e-05,-2.7915546624412285e-05,3.646553602817959e-05,-2.1764116086123858e-05,-1.3259787800840028e-05,-2.743542712732843e-05,-2.4418445007663933e-05,-2.586502413389109e-05,-2.519537625966873e-05
train.lr_scheduler_args.patience,,,,-0.009569686222734852,-0.009569670434869691,-0.00956426975514428,-0.00956830848084382,-0.004618144711960134,-0.006753365747384722,-0.017747843604507974,-0.01169406916670341,-0.009300553784960317,-0.00860575590965329,-0.005504409021603915,-0.012327082215576018,-0.009766302570402625,-0.00914941512359507,-0.00943685089068277,-0.009127699179106446
lookup_embedder.dim,,,,,0.0033081725320588187,0.0032933718931227457,0.0033029661330563477,-0.0019122636449390024,0.003328086362606563,-0.0007953007455619894,0.002815765373981448,0.0026813651645814698,0.003913481298140509,0.002540894251939832,0.0028952249917282838,0.007373524154731935,0.0033473528289453035,0.002902934482529294,0.002933995979859488
lookup_embedder.initialize_args.normal_.std,,,,,,0.0010180294297064615,0.001018029429706454,0.0008904224085547613,-0.00038516706099105905,0.0012141226284072167,0.0009159239931686575,0.0011511970622994343,0.001626256148136919,0.0032551733745945846,0.0010985428767101074,0.0020286816096233284,0.000913966663867398,0.0007537466452279995,0.00114625692336147
lookup_embedder.initialize_args.uniform_.a,,,,,,,0.0017455621117822451,-0.0011426631842345325,0.0018153318981087912,0.0014372522866894048,0.001735399876270187,0.0016712996215019881,0.003084786852940599,-0.00034185795888858755,0.0024740253676032156,0.0008201912978507316,0.0017639191461204108,0.0019063112363743692,0.0016463879451377912
lookup_embedder.regularize_args.weighted,,,,,,,,6.71361145768018e-05,0.000272538050485961,0.0003148123666569455,0.00031481236665694204,0.00031481236665694204,0.00026825957972997916,0.00012974303836317189,0.00025713998458451806,0.0004312866944594018,0.0003114739190423968,0.00031815081427148196,0.00031147391904239746
job_type_dummy:1vsAll,,,,,,,,,0.0031247518223055373,0.009607508697099584,-0.016263213483109155,-0.015337691613697158,-0.012963455728397327,-0.015213895272662856,-0.013014487401306452,-0.019236787614225273,-0.016525441396542957,-0.01696575303032437,-0.016445548925398207
job_type_dummy:KvsAll,,,,,,,,,,-0.0001747403740254179,-0.0057605882239162125,-0.007956969842696289,-0.007295704759178782,-0.004127481611567823,-0.009097029097546382,-0.008758358703679928,-0.008229061070512817,-0.008982053833761697,-0.008775728000828336
job_type_dummy:negative_sampling,,,,,,,,,,,0.0035148494850450497,0.005829400894179113,0.0096873343295793,0.0058998027605390545,0.004899894897224612,0.0029601802691110943,0.004868388797395371,0.005362928171949,0.004773416726033809
train.optimizer_dummy:Adagrad,,,,,,,,,,,,0.009036071421170048,-0.0044131016295869616,-0.004918249897899074,-0.003144477430918874,-0.004147868198837595,-0.0023589363704876786,-0.0019420283581857638,-0.0027897413165329362
train.optimizer_dummy:Adam,,,,,,,,,,,,,0.000626273513256545,-0.00037877782763835743,0.0023500643980354135,0.002812076150038938,0.002715769719888594,0.0030215022622433097,0.0029242237260395576
lookup_embedder.initialize_dummy:normal_,,,,,,,,,,,,,,0.014591271689985447,0.010422087753687553,0.008094881636449065,0.001125299949193266,0.0002459465203105177,0.0006704453856995206
lookup_embedder.initialize_dummy:uniform_,,,,,,,,,,,,,,,-0.0021052976084857825,-0.0024947369947414186,-0.004757357301743498,-0.004907617910724669,-0.0055784612151961585
lookup_embedder.initialize_dummy:xavier_normal_,,,,,,,,,,,,,,,,-0.0015779823035839127,-0.004412972926146479,-0.0043814292776165175,-0.004427894297792115
lookup_embedder.initialize_dummy:xavier_uniform_,,,,,,,,,,,,,,,,,-0.0021766360987513582,-0.001585080352869544,-0.00145584087368894
loss_func_dummy:bce,,,,,,,,,,,,,,,,,,0.0007391338604111378,0.0004736800580697894
loss_func_dummy:kl,,,,,,,,,,,,,,,,,,,0.0011183377032918222
loss_func_dummy:margin_ranking,,,,,,,,,,,,,,,,,,,
