,Unnamed: 0,Unnamed: 0.1,job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,complex.entity_embedder.regularize_weight,complex.relation_embedder.regularize_weight,complex.entity_embedder.dropout,complex.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o,train.loss_arg
0,0,0,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,295,,,,mean_reciprocal_rank_filtered_with_test,0.2334518323843384,0,6fd27216,128.0,Adam,0.0382714652614784,1.0,256.0,normal_,0.0005041443570535,-0.5746373788845167,,False,3.751685059784727e-09,1.4675439149209115e-11,0.2439546724781394,-0.2578379241749644,[],[],6.00603636354208
1,1,1,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,390,,,,mean_reciprocal_rank_filtered_with_test,0.2284398697025591,1,1b60bf7c,1024.0,Adam,0.0003455027633011,3.0,64.0,normal_,0.0131520609320958,-0.7613201856898331,lp,False,1.9231061957960576e-17,2.1439060824218263e-16,0.4892550678923726,0.2658354211598634,[],[],8.925955733284354
2,2,2,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,190,,,,mean_reciprocal_rank_filtered_with_test,0.0733146151892643,2,9e12a7d9,256.0,Adagrad,0.1997072534332726,5.0,256.0,uniform_,6.434525572987095e-05,-0.3098774535660817,lp,True,0.0025658760553922,1.7497890584559717e-07,-0.0171891525387763,-0.2134672943502664,[],[],1.470485171303153
3,3,3,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.2171434753261334,3,aca6dede,1024.0,Adam,0.0086136592078413,4.0,512.0,xavier_normal_,0.0161928279047179,-0.6603524433209933,lp,True,5.680769432691531e-07,7.028169162626635e-06,0.109499248676002,0.4451856203377247,[],[],8.729442907497287
4,4,4,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,105,,,,mean_reciprocal_rank_filtered_with_test,0.2370771013776019,4,8b5e7367,256.0,Adagrad,0.0487568092044248,7.0,64.0,normal_,2.299944136042559e-05,-0.1434825853236764,,False,3.1559250063875345e-11,5.866293804086036e-16,-0.3957743290811777,-0.0131788253784179,[],[],1.1860054265707731
5,5,5,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2356796173278443,5,9aee59e2,512.0,Adagrad,0.0021290032807629,8.0,128.0,xavier_uniform_,0.1820731345073143,-0.4580766343660838,lp,False,7.210749147445558e-06,1.3831193818997747e-20,-0.1488870792090892,0.0208100816234946,[],[],3.871549740433693
6,6,6,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.0334179158424223,6,4490a06b,128.0,Adam,0.6951299160918496,1.0,32.0,normal_,0.0013332762209073,-0.9724459870363772,lp,True,1.2170149854340605e-19,1.6916465800139675e-10,0.3721335688605904,-0.4686860786750912,[],[],6.336866989731789
7,7,7,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.1022560626514827,7,29c96304,1024.0,Adagrad,0.0914606199694311,2.0,16.0,xavier_normal_,0.0020855781578676,-0.8573406923636515,,False,7.282382004328354e-13,7.249676881805447e-14,-0.4640658618882298,0.1489035654813051,[],[],7.72474548779428
8,8,8,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,75,,,,mean_reciprocal_rank_filtered_with_test,0.2127312896528372,8,cbbb36e6,256.0,Adam,0.0161887403377582,9.0,128.0,normal_,0.0572982319918981,-0.3390646519234683,lp,True,1.0168027555103325e-07,5.7642993766248506e-05,0.0608572270721197,-0.3309104386717081,[],[],0.1912262197583913
9,9,9,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,95,,,,mean_reciprocal_rank_filtered_with_test,0.0707411140330945,9,b91283e7,512.0,Adam,0.3707507872175833,6.0,32.0,normal_,1.4947979977895993e-05,-0.0281175511076021,lp,True,6.637325599023266e-19,1.2469394308067052e-09,0.3001760877668857,0.3231646502390504,[],[],4.751770533621311
10,10,10,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.2243900452443327,10,77374945,128.0,Adagrad,0.0011333548977129,3.0,512.0,xavier_uniform_,0.0517268925854978,-0.5410816749998089,lp,False,0.0003066759292975,1.6031138142150214e-18,-0.2089999308809638,-0.1252886978909373,[],[],7.207169570028782
11,11,11,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.1926606329751211,11,2616d59b,512.0,Adam,0.026301946227536,7.0,256.0,xavier_normal_,9.938702790252188e-05,-0.4252229357915464,,False,3.3901363454214887e-10,5.073470032725854e-13,0.179437780752778,0.4033287903293967,[],[],2.592367082834244
12,12,12,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0048835273614322,12,2e800e63,128.0,Adagrad,0.0026245554460621,5.0,64.0,uniform_,0.0040984222804018,-0.8805723556851875,lp,True,3.884437275524958e-15,0.0063751094550484,-0.3309164950624108,-0.0855797873809933,[],[],5.135580450296402
13,13,13,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,210,,,,mean_reciprocal_rank_filtered_with_test,0.2251590986553678,13,5c822878,1024.0,Adagrad,0.2907341953059016,0.0,256.0,xavier_uniform_,0.0003244499185852,-0.6897545925043616,lp,True,0.0550929739227568,8.556193015284665e-08,-0.0936727700755,0.077711958438158,[],[],9.930499820038676
