job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,transe.entity_embedder.regularize_weight,transe.relation_embedder.regularize_weight,transe.entity_embedder.dropout,transe.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o,train.loss_arg,transe.l_norm,transe.entity_embedder.normalize.p,transe.relation_embedder.normalize.p
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0174557657842796,0,429e5474,128.0,Adam,0.04037750921964654,0.0,512.0,uniform_,0.0005086783205562308,-0.9496710741968174,,False,0.0017081734800652821,5.236358548459824e-17,0.05420091934502125,-0.1480969963595271,[],[],8.194897761568427,1.0,-1.0,2.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1798271342359923,1,9e0ae245,1024.0,Adam,0.0014276041160182266,3.0,64.0,normal_,0.007613285743532009,-0.7379341767528,lp,False,4.483207646981908e-19,1.8337709906454708e-11,0.34179799538105726,0.3341470519080758,[],[],7.335580913349986,2.0,-1.0,-1.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,135,,,,mean_reciprocal_rank_filtered_with_test,0.1601457102535999,2,9189c459,256.0,Adagrad,0.8763737401258715,7.0,128.0,uniform_,5.3179490938486316e-05,-0.3177819134054519,lp,True,1.2960893636327928e-08,1.1357519046702557e-06,-0.11441883910447359,-0.2530925376340747,[],[],1.988004744052887,1.0,2.0,2.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0366916000588109,3,91c5fcc6,1024.0,Adam,0.015872697446241122,4.0,128.0,uniform_,0.023439196608204777,-0.7641897248279955,lp,True,0.0002606715662697525,2.0324087845926267e-05,0.24315983336418867,0.4779282547533512,[],[],5.1576828956604,1.0,-1.0,2.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,245,,,,mean_reciprocal_rank_filtered_with_test,0.2671057717154976,4,2a14cad1,256.0,Adagrad,0.10153818242587596,6.0,64.0,xavier_uniform_,3.244478410332153e-05,-0.1799613471944257,,False,5.564519767092333e-13,1.5222471960653035e-19,-0.45686568785458803,-0.4339831471443176,[],[],0.5138421338051558,2.0,2.0,-1.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.118144625926718,5,739d3ced,512.0,Adagrad,0.0007369538138524799,9.0,256.0,xavier_uniform_,0.2265614688705991,-0.38242013685368004,lp,False,1.4050357076886012e-09,6.939103724159647e-16,-0.18196344934403896,0.12296312674880028,[],[],4.0295258071273565,1.0,2.0,2.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.1429012093001497,6,e100a7ab,128.0,Adam,0.2701966061367877,1.0,32.0,normal_,0.0010923847722800624,-0.548180438973112,lp,True,4.132905172775616e-18,3.493046837773743e-11,0.39208550937473774,-0.03995559364557266,[],[],9.298252128064632,2.0,-1.0,-1.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.1556813270779868,7,657af7b0,1024.0,Adagrad,0.058684404959675224,1.0,16.0,xavier_normal_,0.002637892655444044,-0.6252543542915676,,False,9.181932925582294e-12,1.5266807624693505e-18,-0.4065964752808213,0.14478500373661518,[],[],5.694037387147546,2.0,2.0,-1.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0245370795796799,8,9e9feda0,256.0,Adam,0.009314425862891478,9.0,512.0,normal_,0.10245361300176947,-0.3032417962877638,lp,True,1.845601479390062e-05,0.0002425884451961721,0.13617204036563635,-0.1887304875999689,[],[],0.9732923097908497,1.0,-1.0,2.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,290,,,,mean_reciprocal_rank_filtered_with_test,0.1195547521029369,9,12be9dbf,512.0,Adam,0.16892976461268744,7.0,32.0,normal_,1.533335136071767e-05,-0.009108284232374197,lp,True,7.079411352046949e-17,6.964092382565324e-10,0.4716209154576063,0.25078786350786686,[],[],4.4889759831130505,2.0,-1.0,-1.0
