job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,transe.entity_embedder.regularize_weight,transe.relation_embedder.regularize_weight,transe.entity_embedder.dropout,transe.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o,transe.l_norm,transe.entity_embedder.normalize.p,transe.relation_embedder.normalize.p
d78b5354,umls,transe,0,search,negative_sampling,valid,215,,,,mean_reciprocal_rank_filtered_with_test,0.5855867818820696,0,dc348689,128.0,Adam,0.7099022804115046,0.0,512.0,normal_,0.00014001243501526487,-0.6580451435866114,lp,False,6.855169009722132e-06,1.5457371094031104e-14,0.13403013162314892,-0.47670987714082,[],[],2.0,-1.0,-1.0
d78b5354,umls,transe,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.5847332258165979,1,d2561d37,512.0,Adam,0.0003087963948689647,3.0,64.0,normal_,0.009633377623633201,-0.9357788158362824,lp,False,6.956748643416662e-19,3.070657535361863e-19,0.43554373644292355,0.3836695896461606,[],[],2.0,2.0,-1.0
d78b5354,umls,reciprocal_relations_model,1,search,negative_sampling,valid,75,,,,mean_reciprocal_rank_filtered_with_test,0.74315020789398,2,a872e97d,128.0,Adagrad,0.05704664730493948,7.0,128.0,uniform_,0.00020889003362866985,-0.3489974682744219,,True,4.781201844395402e-11,2.653315408342771e-07,-0.03946715407073498,-0.15857178810983896,[],[],1.0,-1.0,2.0
d78b5354,umls,reciprocal_relations_model,1,search,negative_sampling,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.7144565699290644,3,eca5c558,512.0,Adam,0.012990331065848518,4.0,256.0,xavier_normal_,0.037974177264505624,-0.5006653104154579,lp,True,0.004160727786397825,0.0002661659231981594,0.045411987230181694,0.3352317800745368,[],[],2.0,-1.0,-1.0
d78b5354,umls,transe,0,search,negative_sampling,valid,85,,,,mean_reciprocal_rank_filtered_with_test,0.7682832121117714,4,6f6da869,256.0,Adagrad,0.2450079835535402,6.0,32.0,normal_,0.0012912706236109014,-0.21465457386023357,lp,False,7.870070032671419e-12,2.097978642148029e-11,-0.43269831500947475,-0.12282927613705397,[],[],1.0,2.0,2.0
d78b5354,umls,transe,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.3455427672965395,5,a4b73923,512.0,Adagrad,0.0010113574913199524,9.0,512.0,xavier_uniform_,0.10791595935991864,-0.4415540986947436,lp,False,3.443047326556842e-08,2.372861630085682e-16,-0.14046229235827923,0.028324025683104992,[],[],1.0,-1.0,2.0
d78b5354,umls,reciprocal_relations_model,1,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.6663994350316335,6,9ee7aed3,128.0,Adam,0.01915441963443991,1.0,16.0,xavier_normal_,2.5925866659310584e-05,-0.7805352066725865,,True,5.430751098095248e-17,2.7559615285204155e-09,0.2756362911313772,-0.3042028537020087,[],[],2.0,2.0,-1.0
d78b5354,umls,reciprocal_relations_model,1,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.6010011544256854,7,22a7ab63,512.0,Adagrad,0.14569696728314122,0.0,32.0,xavier_normal_,1.792971383274086e-05,-0.9763732074697409,lp,False,1.909818780024854e-12,1.1975495299807465e-12,-0.44025566056370735,0.16585061326622963,[],[],2.0,2.0,2.0
d78b5354,umls,transe,0,search,negative_sampling,valid,105,,,,mean_reciprocal_rank_filtered_with_test,0.7946401958816622,8,7c6c934f,256.0,Adam,0.007662481869248483,10.0,256.0,normal_,0.16303491583674445,-0.30926847527496515,lp,True,0.015704771456889352,1.39708870551942e-05,0.08523320406675339,-0.37825281359255314,[],[],1.0,-1.0,-1.0
d78b5354,umls,transe,0,search,negative_sampling,valid,100,,,,mean_reciprocal_rank_filtered_with_test,0.5147830518476803,9,d185d855,256.0,Adam,0.03214684978585973,7.0,32.0,normal_,0.001994637587646827,-0.034456414681840686,,True,1.3355859340106347e-17,2.2180130899049717e-10,0.34719567000865936,0.4722393825650215,[],[],1.0,2.0,-1.0
d78b5354,umls,reciprocal_relations_model,1,search,negative_sampling,valid,135,,,,mean_reciprocal_rank_filtered_with_test,0.3569828571717432,10,d7e7804d,128.0,Adagrad,0.0017111779706360014,3.0,256.0,xavier_uniform_,0.02567129553164395,-0.7423398379539978,lp,False,1.2892179432177716e-07,1.749928928552101e-17,-0.24030491337180138,-0.1963603850454092,[],[],2.0,-1.0,2.0
d78b5354,umls,reciprocal_relations_model,1,search,negative_sampling,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.5206827269010017,11,82ebd2aa,512.0,Adam,0.43219690688687445,5.0,128.0,xavier_normal_,0.0005791421274994441,-0.4041492016643379,lp,False,0.0003983231296120838,8.099270764738727e-16,0.23532135039567947,0.3087955880910158,[],[],1.0,-1.0,-1.0
d78b5354,umls,transe,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.5829094260748179,12,36350695,128.0,Adagrad,0.00234877012041565,5.0,64.0,uniform_,0.00331805596820547,-0.8190591771683842,lp,True,1.3385626281415373e-15,0.0006991908209451615,-0.34904924407601357,-0.022174417972564697,[],[],2.0,2.0,2.0
d78b5354,umls,transe,0,search,negative_sampling,valid,105,,,,mean_reciprocal_rank_filtered_with_test,0.2414354663685055,13,fd0e5482,512.0,Adagrad,0.09351627246724299,2.0,512.0,xavier_uniform_,4.930869530637494e-05,-0.5872841007518954,,True,2.755976238600097e-09,1.9601878627308508e-08,-0.07976232096552849,0.11567282490432262,[],[],2.0,-1.0,2.0
d78b5354,umls,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.7314482612843893,14,584bd287,256.0,Adam,0.0005020589077656659,8.0,16.0,uniform_,0.7031055716621617,-0.12720091706375591,lp,False,1.1106399506876106e-20,2.4669534300119774e-20,0.44161999225616455,-0.34077032282948494,[],[],1.0,2.0,-1.0
d78b5354,umls,reciprocal_relations_model,1,search,negative_sampling,valid,385,,,,mean_reciprocal_rank_filtered_with_test,0.7510064247927052,15,201d92f4,512.0,Adam,0.001233811525361202,8.0,64.0,uniform_,0.05009438369785262,-0.9634485770685971,,True,2.277281554738284e-10,7.272529524316079e-14,-0.33779886458069086,-0.4679872002452612,[],[],1.0,-1.0,2.0
d78b5354,umls,transe,0,search,negative_sampling,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.2022162595409557,16,93de0c22,256.0,Adagrad,0.023659942457150984,2.0,128.0,xavier_normal_,0.0009928029644903085,-0.25191260092669165,lp,False,1.8923967340078298e-19,0.05632910383461653,0.19965667556971312,0.23995976895093918,[],[],2.0,2.0,-1.0
d78b5354,umls,transe,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.5240250101850077,17,54c36618,256.0,Adagrad,0.015291617882962572,0.0,16.0,uniform_,0.0683505955510469,-0.02940756339686923,lp,False,1.9500553259222662e-05,8.682761453907869e-07,0.4928696183487773,-0.1459886971861124,[],[],2.0,-1.0,-1.0
d78b5354,umls,reciprocal_relations_model,1,search,negative_sampling,valid,65,,,,mean_reciprocal_rank_filtered_with_test,0.1934729968111939,18,ec6b33ec,128.0,Adam,0.2943116894881439,10.0,512.0,xavier_uniform_,4.035894530025453e-05,-0.692855931788031,lp,True,1.9432874541261176e-14,1.0266512638373086e-18,-0.10659764055162668,0.437492448836565,[],[],1.0,2.0,2.0
d78b5354,umls,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.4786784634268357,19,79eea382,256.0,Adagrad,0.00041285031917219977,1.0,256.0,normal_,0.4038975670577907,-0.4067890957158804,,True,2.6995607419869804e-16,3.1679775811430134e-12,0.10527622234076262,-0.07309100404381752,[],[],2.0,2.0,-1.0
d78b5354,umls,transe,0,search,negative_sampling,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.2824470192376821,20,2f7e433b,128.0,Adam,0.07776212250336265,9.0,32.0,uniform_,8.86867932678553e-05,-0.8710130751136783,lp,False,8.974191138412338e-09,4.105494389637382e-05,-0.49838532600551844,0.34408695809543133,[],[],1.0,-1.0,2.0
d78b5354,umls,transe,0,search,negative_sampling,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.6191864481732889,21,424796b8,512.0,Adam,0.0053010290567062635,6.0,256.0,xavier_uniform_,0.007406001914694984,-0.5976738901686948,lp,False,2.336486002507435e-11,1.1854233461164706e-09,-0.19784792605787516,-0.250604048371315,[],[],1.0,2.0,2.0
d78b5354,umls,reciprocal_relations_model,1,search,negative_sampling,valid,255,,,,mean_reciprocal_rank_filtered_with_test,0.7878264444737346,22,28d0e346,256.0,Adagrad,0.9947018391111345,4.0,32.0,xavier_normal_,0.0002755326422283887,-0.18690852875867858,lp,True,0.0009117597971280879,9.98797727896805e-17,0.3428253410384059,0.041131289675831795,[],[],2.0,-1.0,-1.0
d78b5354,umls,reciprocal_relations_model,1,search,negative_sampling,valid,85,,,,mean_reciprocal_rank_filtered_with_test,0.2106530827247291,23,7570e2a4,512.0,Adam,0.1307911457733958,3.0,64.0,normal_,0.00037203058168691345,-0.07023230232714672,lp,False,5.621191375001464e-07,3.033265907807983e-06,-0.38244480546563864,-0.42606400791555643,[],[],2.0,-1.0,2.0
d78b5354,umls,transe,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.383076205575393,24,184a950d,128.0,Adagrad,0.0006997814889599949,7.0,128.0,uniform_,0.005238742951844967,-0.6528728541793487,,True,4.683329874060589e-18,2.5449273707777683e-13,0.017618698067963123,0.1550677614286542,[],[],1.0,2.0,-1.0
d78b5354,umls,transe,0,search,negative_sampling,valid,190,,,,mean_reciprocal_rank_filtered_with_test,0.7260626108368482,25,5b9347af,512.0,Adagrad,0.5925739250217503,9.0,16.0,normal_,6.413243176101999e-05,-0.8783003378224,lp,True,0.057877771263425554,5.2347568491619366e-18,0.28788277972489595,-0.24809302855283022,[],[],1.0,-1.0,-1.0
d78b5354,umls,reciprocal_relations_model,1,search,negative_sampling,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.5527750495021329,26,30142935,256.0,Adam,0.0031336482118882753,1.0,512.0,xavier_uniform_,0.5329909876212354,-0.33595023048241623,lp,False,4.0211084770362144e-13,6.776693163756737e-11,-0.1751690050587058,0.45756559912115335,[],[],2.0,2.0,2.0
d78b5354,umls,reciprocal_relations_model,1,search,negative_sampling,valid,105,,,,mean_reciprocal_rank_filtered_with_test,0.8299363961249041,27,b336a0cf,512.0,Adagrad,0.038850493678561866,8.0,512.0,normal_,1.3593084926344413e-05,-0.5604955257759895,lp,False,5.053925971972891e-20,0.00453226235679891,0.17745175678282976,-0.032876147888600826,[],[],1.0,2.0,-1.0
d78b5354,umls,transe,0,search,negative_sampling,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.5103986307155867,28,777041e1,128.0,Adam,0.0020105998152605367,2.0,16.0,xavier_uniform_,0.2120681255370063,-0.22516697066789493,,True,9.259868644118613e-10,5.3646596401897675e-15,-0.2813752805814147,0.26090339105576277,[],[],2.0,-1.0,2.0
d78b5354,umls,transe,0,search,negative_sampling,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.4697589523221817,29,98158868,256.0,Adam,0.1795911597196735,5.0,128.0,uniform_,0.0031489926441137695,-0.49363143848758184,lp,True,5.148428597421434e-15,5.859750072382008e-20,-0.02038878109306097,-0.35539362113922834,[],[],2.0,2.0,2.0
