,train.batch_size,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize_args.weighted,job_type_dummy:1vsAll,job_type_dummy:KvsAll,job_type_dummy:negative_sampling,train.optimizer_dummy:Adagrad,train.optimizer_dummy:Adam,lookup_embedder.initialize_dummy:normal_,lookup_embedder.initialize_dummy:uniform_,lookup_embedder.initialize_dummy:xavier_normal_,lookup_embedder.initialize_dummy:xavier_uniform_,loss_func_dummy:bce,loss_func_dummy:kl,loss_func_dummy:margin_ranking
train.batch_size,,0.0007807528026404498,0.0007340803152413142,0.0008010117394785243,0.0007063845534879807,0.0006915109036574781,0.0008948695987537197,0.0007404913712027329,0.0006740728314424207,0.0007112569560186579,0.0007804963604019958,0.0007135649361647701,0.0008602498965620577,0.0006248359216587084,0.0008643529723773662,0.0010415545591510181,0.0016603496805472628,0.002109123597846681,0.0002599186163347311
train.optimizer_args.lr,,,0.0025137269752050773,0.002455258144836915,0.0025809148416807465,0.002626305117887598,0.002672721163048307,0.0028391521758067534,0.0029689119484659094,0.0025545012911197006,0.0023103682801088187,0.0025814277261576746,-2.0178782986561908e-05,0.00312405950273225,0.0021403470760119744,0.0026150216593955142,-0.0003473990792574322,0.00043603195922808924,0.0022533098820522457
train.lr_scheduler_args.patience,,,,2.0851975166408243e-06,6.188273331960217e-06,5.465440859088455e-07,4.1367354242996535e-06,2.085197516650013e-06,4.1367354243037734e-06,4.1367354243050745e-06,2.3416397551076105e-06,4.1367354243050745e-06,4.136735424306592e-06,4.1367354242996535e-06,1.0034906908810114e-05,4.136735424304641e-06,4.1367354242927146e-06,-1.1121577763869087e-05,-1.1121577763839596e-05
lookup_embedder.dim,,,,,-0.004437019667389252,-0.004504463976103393,-0.004299566627576398,-0.004238020490346768,-0.004386500546413255,-0.004320338448891408,-0.004395219582520794,-0.004342648923637142,-0.004836556674904952,-0.004339571616775673,-0.00449933513133425,-0.005969774926645547,-0.004202631461439732,-0.0027951482356695784,-0.005699997691789027
lookup_embedder.initialize_args.normal_.std,,,,,,0.0025230598746164984,0.002745651737597006,0.0025263936237164414,0.002443562780694895,0.0025035702644937855,0.00250818622478601,0.002531522468485578,0.0026007618728689143,0.002887720737702066,0.00258819620318453,0.0027920677827576886,0.002129677480823794,0.0031290328840899266,0.001550887348626795
lookup_embedder.initialize_args.uniform_.a,,,,,,,0.0015997284586604169,0.001563313660799552,0.0012173730811213242,0.0013581598700341036,0.0013707255397184923,0.0013699562130031224,0.0015412596282922634,0.002921944640143677,0.0011350551225766939,0.002265708951932727,0.0001009517959996431,0.0015662627465418064,0.0004563807385007945
lookup_embedder.regularize_args.weighted,,,,,,,,0.0071662174517740556,0.007373679222685602,0.007432917379769125,0.007367268166724186,0.007408555367115726,0.0077132087464024165,0.006215329631576227,0.0071631401449125725,0.0092608376554892,0.004033647287905007,0.004509860524719293,0.005821947237783509
job_type_dummy:1vsAll,,,,,,,,,0.0023483950922873736,0.0018903892544035298,0.0017967878373667972,0.001645230474438827,0.0017565264059290816,0.0025558568631989208,0.0017229324726912368,0.001349039689021223,0.0016534366260694544,0.001599968419351205,-0.0014169462949737976
job_type_dummy:KvsAll,,,,,,,,,,0.005136744713019311,0.004893124586485352,0.004555133716199286,0.004063021060600688,0.004780033559325898,0.004426912596970886,0.00413405556065322,0.003975446036167701,0.005202650368302711,0.0022113798778233273
job_type_dummy:negative_sampling,,,,,,,,,,,0.0014146074256213208,0.001497438268642866,0.0015446236405189176,0.002197269137391475,0.001948520166088377,0.0014338405935055804,0.00028177383723840266,0.0008697958900198526,0.000631176387135779
train.optimizer_dummy:Adagrad,,,,,,,,,,,,0.004128207154677572,0.0016432818640311764,0.0010488487552883091,0.0022364327615817543,0.0014178691364276491,0.001882414251392156,0.0027590620435567186,0.002350934221052703
train.optimizer_dummy:Adam,,,,,,,,,,,,,0.0011054648593523796,0.0009108252003636672,0.0019966016379897615,0.0018732529212920398,0.001173037389185727,0.0017963202497550037,0.0012677927962955748
lookup_embedder.initialize_dummy:normal_,,,,,,,,,,,,,,0.012767160173355205,0.007633955886165428,0.0066669122049448325,0.008622540715416377,0.006770386648162152,0.0035883231322709763
lookup_embedder.initialize_dummy:uniform_,,,,,,,,,,,,,,,0.007106099300565063,0.005824657434996433,0.004293697271409325,0.005254073454430054,-0.0002952083646558523
lookup_embedder.initialize_dummy:xavier_normal_,,,,,,,,,,,,,,,,-0.0003955785091513532,0.0028520059986655577,-0.00023414812004279167,0.002610180967800746
lookup_embedder.initialize_dummy:xavier_uniform_,,,,,,,,,,,,,,,,,-0.0024624815000580114,0.004686871665879149,0.0015949475968054516
loss_func_dummy:bce,,,,,,,,,,,,,,,,,,0.03324299979398783,0.11345601633480784
loss_func_dummy:kl,,,,,,,,,,,,,,,,,,,0.06038622380494979
loss_func_dummy:margin_ranking,,,,,,,,,,,,,,,,,,,
